Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.623860583860584,0.011836735458145667
1-5,0.6653452429923018,0.022395332620201113
2-6,0.674253850724439,0.013787060398846585
3-7,0.6968649651002593,0.012118957124360936
4-8,0.6920505638152697,0.013160893427122986
5-9,0.7193044863633099,0.02482016120351478
6-10,0.7092849634026105,0.0270906756726772
7-11,0.71241908418379,0.03734893551515299
8-12,0.7076844723903548,0.026840491351210465
9-13,0.7221178821178821,0.013412910016531518
10-14,0.7267493291022703,0.017905279733399525
11-15,0.7304485057426234,0.026379825293845378
12-16,0.7358632217455746,0.013944546619605164
13-17,0.7416497228261933,0.009169864200399974
14-18,0.7450798874328286,0.005076454136760585
15-19,0.7507180401298048,0.006904544385498429
16-20,0.7466022866022867,0.014369521871490971
17-21,0.7387285916697682,0.030689300587948234
18-22,0.7470063270063271,0.037971030879466496
19-23,0.7459808165690518,0.035036462735754934
20-24,0.7574049479931833,0.02555597784222933
21-25,0.7588027658615893,0.024145449587564004
22-26,0.7691494126788244,0.012334475172307442
23-27,0.7660196013137189,0.015506507185832536
24-28,0.7597606315253373,0.020457522357916615
25-29,0.7551957846075492,0.02378840085689959
26-30,0.73426808485632,0.024655750622584415
27-31,0.7316736857913329,0.019935476283195152
28-32,0.7447856718444953,0.029695867589646725
29-33,0.7477692242398124,0.02973091821588814
30-34,0.7463435910494733,0.03585011379180517
31-35,0.746234157998864,0.03054708606145775
32-36,0.7399673529085294,0.03662611796147939
33-37,0.7436895131012778,0.033250288752931005
34-38,0.7381624911036676,0.032006652898598234
35-39,0.7243617820088408,0.03496209626165674
36-40,0.7306761212643567,0.03458756075380288
37-41,0.7368001932707816,0.027639566823968717
