Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.6454707384119149,0.008680906584787693
1-5,0.6825161766338237,0.025675719716852417
2-6,0.6732327802916038,0.02901632034594501
3-7,0.7025096472155296,0.019238981797635453
4-8,0.7025062519180167,0.0033709789354349285
5-9,0.7161815961815962,0.02116365251104431
6-10,0.7129593282534459,0.02670654451551986
7-11,0.7161284467166821,0.02447608694696298
8-12,0.7094113729407847,0.013644824661216604
9-13,0.724770393005687,0.014015357472844523
10-14,0.7331740155269566,0.02204646760892273
11-15,0.7241797418268007,0.0187253345390834
12-16,0.7270016258251552,0.009555862989920005
13-17,0.7354126918832801,0.011761599532554352
14-18,0.7345425816014052,0.004365085787667404
15-19,0.7448130954013307,0.0053169844856130735
16-20,0.7374891774891775,0.012048469925235637
17-21,0.732185722773958,0.03544449233126357
18-22,0.7351559551559551,0.03639863820728077
19-23,0.7363494022317552,0.03164943443796134
20-24,0.7507493813376166,0.02176305371862157
21-25,0.7508256449432921,0.018283800906908634
22-26,0.7590600249423779,0.007300519861667558
23-27,0.7600474035768153,0.008043888444988469
24-28,0.7533994110464698,0.014099392808072608
25-29,0.7530918754448166,0.024526800092461745
26-30,0.7363644198938316,0.023374599592826277
27-31,0.7260310930899166,0.020527213150164585
28-32,0.7371552630376158,0.02968540940576204
29-33,0.7429144711497653,0.031629689934714794
30-34,0.7392203874556816,0.03844284712566514
31-35,0.739329820506291,0.038483633630924385
32-36,0.7314343173166703,0.033786412728427646
33-37,0.7374616233439762,0.030034720107855867
34-38,0.7344486885663356,0.023344725903738362
35-39,0.7277872454343042,0.022853243487948233
36-40,0.7328270422388069,0.02064059193518961
37-41,0.7348785854668206,0.01798716512552056
