Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.5,0.0
2-2,0.5,0.0
3-3,0.5,0.0
4-4,0.5,0.0
5-5,0.5,0.0
6-6,0.5,0.0
7-7,0.5,0.0
8-8,0.5,0.0
9-9,0.5,0.0
10-10,0.5,0.0
11-11,0.5,0.0
12-12,0.5,0.0
13-13,0.5,0.0
14-14,0.5,0.0
15-15,0.5,0.0
16-16,0.5,0.0
17-17,0.5,0.0
18-18,0.5,0.0
19-19,0.5441184041184042,0.0383031302684952
20-20,0.5656447596664989,0.03379697360214613
21-21,0.5578631581892451,0.013863864540251715
22-22,0.5672336466901684,0.008993045924396002
23-23,0.5520457724805551,0.021618821634711648
24-24,0.565892787197135,0.020916889816878597
25-25,0.5659825975043367,0.03956613280043506
26-26,0.5701687090817527,0.03542277797082243
27-27,0.5808011583011582,0.046598440842566036
28-28,0.5955646018689497,0.03916127900903583
29-29,0.5904435957696827,0.035635896175253985
30-30,0.6151754238710759,0.031558847085144844
31-31,0.60641598119859,0.022175427047408745
32-32,0.624613479939567,0.03634701505954753
33-33,0.6158422863857647,0.03135137807816368
34-34,0.618089922220357,0.04366022096274426
35-35,0.626500195848022,0.043452852456476836
36-36,0.6294261652957306,0.048036956265235374
37-37,0.6360289015723799,0.047358332366095796
38-38,0.6387299255777517,0.050312483492573286
39-39,0.6463070057635275,0.04026782137607651
40-40,0.647632756980583,0.03477941027707794
41-41,0.6542645906776342,0.032413068326806516
42-42,0.6587145375188853,0.037836308944433523
43-43,0.657187762296458,0.0405887044002341
44-44,0.6632667450058755,0.045768574058330305
45-45,0.663891500195848,0.04349348000730615
46-46,0.6609160091768786,0.03624111182500248
47-47,0.6650177662134183,0.035399478768753774
48-48,0.6611029041463824,0.03258492536258849
49-49,0.6606864473168822,0.03437769606190138
50-50,0.6622073470986516,0.036223863951888174
51-51,0.6634424486598399,0.038504620863506006
52-52,0.6658911084998042,0.03678809482342547
53-53,0.6747318281013933,0.03786772543525839
54-54,0.6741816350512003,0.042561949949249556
55-55,0.6739246544681327,0.044083834262108
56-56,0.6742547982765373,0.049169411265348226
57-57,0.6808397683397684,0.04998516032523279
58-58,0.6863268703486094,0.053595443677862155
59-59,0.6832892675283979,0.04725367836138179
60-60,0.6894089586480892,0.04488270003920671
61-61,0.6953059425885514,0.049823515013765834
62-62,0.6954489116445638,0.052610913697109796
63-63,0.6868509036987298,0.056055711417541954
64-64,0.6869554026075765,0.04426950863443188
65-65,0.6818194281237759,0.041458461208073914
66-66,0.6844380560684908,0.04629856674928905
67-67,0.682744949918863,0.042339591324789955
68-68,0.6925553970119188,0.036096870859096124
69-69,0.6811864193385934,0.03380061797433002
70-70,0.6826903922556097,0.043488339187908114
71-71,0.6923042918695094,0.04470652353646871
72-72,0.6805918807005763,0.04671872107945506
73-73,0.6810822002126349,0.033848108797634786
74-74,0.6888423982989199,0.03653250087286948
75-75,0.6923283531979184,0.03642598758537843
76-76,0.6966112696547478,0.033200822450520126
77-77,0.6879220524872699,0.04600872813352646
78-78,0.6785147725365116,0.04845715244518734
79-79,0.6581002741872307,0.044260281260647336
