Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.5,0.0
1-5,0.5,0.0
2-6,0.5,0.0
3-7,0.5,0.0
4-8,0.5,0.0
5-9,0.5876213427021814,0.014375304302595985
6-10,0.5831680941387823,0.019309074873617795
7-11,0.5886623796543239,0.019774428899042053
8-12,0.6190564603672456,0.023833778795453862
9-13,0.6501812757491452,0.018962080994607045
10-14,0.6765941158759703,0.026943779869755595
11-15,0.6932675203565802,0.0264260012210774
12-16,0.7030574604222712,0.02399507093011863
13-17,0.7009727935139626,0.022469852371047472
14-18,0.7126761922833378,0.02669517789154918
15-19,0.7145108811935303,0.02737138437256225
16-20,0.7177844859333501,0.026284126544270158
17-21,0.7203323724231504,0.027052786932459057
18-22,0.7245827966430257,0.025795660601626965
19-23,0.7254737945786349,0.02549017159201796
20-24,0.7255472348049438,0.02404326729342623
21-25,0.7245791377255655,0.02323998306129273
22-26,0.7232826409723367,0.023455473302385465
23-27,0.7295961209290835,0.019694712814985842
24-28,0.7317451191576585,0.0206124789251498
25-29,0.7331839303416157,0.021563598337434514
26-30,0.7343515967057249,0.024049753161606936
27-31,0.7399874954208316,0.024246601839213473
28-32,0.7471281305146692,0.02564475403516735
29-33,0.7485420454945105,0.02689095647371922
30-34,0.7486375449229664,0.023671179838170776
31-35,0.7531139312225323,0.0236000760939712
32-36,0.7541812970779311,0.025019297586158368
33-37,0.7491906083339939,0.027088658215888732
34-38,0.7504503113539985,0.02300119318269484
35-39,0.756738986605859,0.02318979301567987
36-40,0.7549107720549322,0.02162965888410863
37-41,0.7536689382033978,0.020998970866411514
38-42,0.7551627299070637,0.024627577950811455
39-43,0.758329366263296,0.028468360973548303
40-44,0.7563045309114266,0.02852802602691814
41-45,0.7544857712808698,0.02463376701707112
42-46,0.7561950641781906,0.02215506078233447
43-47,0.7536860874727584,0.02132863507295063
44-48,0.7529972965238034,0.021106509690456035
45-49,0.7497475289108116,0.0198561493216752
46-50,0.7502669490017372,0.021774772440251066
47-51,0.7495795636702542,0.020503903755750622
48-52,0.7496954427115542,0.02117875409431014
49-53,0.7526756031124378,0.01977864302954838
50-54,0.7554576498025384,0.018899320256963347
51-55,0.7561192986093968,0.019928680325906754
52-56,0.7547508429708314,0.01989393979840511
53-57,0.7546254737766995,0.018676227974370154
54-58,0.7564631953079027,0.0196365636915613
55-59,0.7535487891980596,0.020095443857831047
56-60,0.7541191948682017,0.02053165925055311
57-61,0.7521256154427477,0.02075706491573217
58-62,0.7509972416873687,0.02045839907626138
59-63,0.7522037584139326,0.018777119667856477
60-64,0.7520145416885633,0.019494349822383402
61-65,0.7507688711796864,0.019515617013949906
62-66,0.748829895759871,0.01806217366345672
63-67,0.7499116007014015,0.017045363965832668
64-68,0.7535302390439454,0.016635923786812553
65-69,0.7531309416654762,0.015907804631344644
66-70,0.7552708625394665,0.015513877107009608
67-71,0.7585072765235443,0.015373142528280002
68-72,0.7577240241891149,0.01522440561566886
69-73,0.7571869389624837,0.018244405373282202
70-74,0.759195230832994,0.020448925512667224
71-75,0.7561738053313719,0.018539405503735836
72-76,0.7604815385685869,0.015709668259706797
73-77,0.7645675986210246,0.020926953400478725
74-78,0.7621998068041099,0.01796743443653939
75-79,0.7609657682662331,0.013224196405698635
