Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.5,0.0
1-5,0.5,0.0
2-6,0.5,0.0
3-7,0.5,0.0
4-8,0.5,0.0
5-9,0.5876213427021814,0.014375304302595985
6-10,0.5831680941387823,0.019309074873617795
7-11,0.5886623796543239,0.019774428899042053
8-12,0.6190564603672456,0.023833778795453862
9-13,0.6501812757491452,0.018962080994607045
10-14,0.6765941158759703,0.026943779869755595
11-15,0.6932675203565802,0.0264260012210774
12-16,0.7030574604222712,0.02399507093011863
13-17,0.7009727935139626,0.022469852371047472
14-18,0.7126761922833378,0.02669517789154918
15-19,0.7145108811935303,0.02737138437256225
16-20,0.7177844859333501,0.026284126544270158
17-21,0.7203323724231504,0.027052786932459057
18-22,0.7245827966430257,0.025795660601626965
19-23,0.7254737945786349,0.02549017159201796
20-24,0.7255472348049438,0.02404326729342623
21-25,0.7245791377255655,0.02323998306129273
22-26,0.7232826409723367,0.023455473302385465
23-27,0.7295961209290835,0.019694712814985842
24-28,0.7317451191576585,0.0206124789251498
25-29,0.7331839303416157,0.021563598337434514
26-30,0.7343515967057249,0.024049753161606936
27-31,0.7399874954208316,0.024246601839213473
28-32,0.7466602087141595,0.025791135069812388
29-33,0.7483613944642419,0.026199687761208738
30-34,0.749239742894317,0.023639808076653893
31-35,0.7538181008781738,0.023208716491418507
32-36,0.7549943581785504,0.023901169059488383
33-37,0.7545242141036533,0.024826292666612765
34-38,0.7568588590100784,0.02538560420223741
35-39,0.7596434571614491,0.024581917712539897
36-40,0.7569376004072579,0.02253064148282637
37-41,0.7560831054055979,0.01960368214415921
38-42,0.7575885779850245,0.023691456252228012
39-43,0.7596239005158116,0.0250723389050302
40-44,0.7608978406055659,0.024933170259841497
41-45,0.7585962989634463,0.02167923147570294
42-46,0.7586193436228109,0.02006921169259838
43-47,0.7567817088581182,0.019199916092310067
44-48,0.7560633410461927,0.018923971348132746
45-49,0.753787519101253,0.018762096061090233
46-50,0.7537655703292104,0.02098699966618607
47-51,0.7524666882857259,0.019436332267688764
48-52,0.752703235353855,0.019280867872832966
49-53,0.7550348281825366,0.018577110853887854
50-54,0.7567849334171676,0.017303001688243027
51-55,0.7568153264111958,0.018216312464872847
52-56,0.7557356481250105,0.018787449866276795
53-57,0.7572666326878493,0.018159816019241378
54-58,0.7584702645593994,0.018939811487166006
55-59,0.7564114919330072,0.019123386582933517
56-60,0.7561720684235865,0.019980441053336115
57-61,0.7554078547650191,0.0211476924660155
58-62,0.7547233022286436,0.021136859515067778
59-63,0.7554584874937591,0.019745043393070514
60-64,0.7554654025217271,0.02115137509013261
61-65,0.7539987303482792,0.019917031929758598
62-66,0.7529658092200261,0.018374401367715957
63-67,0.7527261490746672,0.017073639088593377
64-68,0.7553150540379724,0.016370944240366704
65-69,0.7566885547547376,0.014658488003450598
66-70,0.7583035277222893,0.014097036861665128
67-71,0.7600750311560134,0.013546294115337516
68-72,0.7583972245107548,0.014488986298628442
69-73,0.7574736191945948,0.01674987456936495
70-74,0.7607570990150392,0.018066345416062553
71-75,0.7595693838025414,0.017205863964627605
72-76,0.7640558292329058,0.014884570630461561
73-77,0.7672850763032057,0.019563090691803134
74-78,0.7648167941429724,0.018199295094364114
75-79,0.7650045158550706,0.011934799832920812
