Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.6194959520926414,0.0049387650455374596
1-5,0.6379502705599216,0.009773416718503647
2-6,0.6654014367367868,0.011595183685111157
3-7,0.6484348558439864,0.009017304847762716
4-8,0.7023829280466373,0.004781741196760745
5-9,0.7105965878155329,0.00105459808617474
6-10,0.7272837414540877,0.004011251012820429
7-11,0.7348113274696665,0.006719869042778971
8-12,0.7446550068055551,0.009716049086066107
9-13,0.7645532030691108,0.02047361142524343
10-14,0.7740448324052336,0.018052579132180356
11-15,0.7805837271856939,0.0074277361964022815
12-16,0.7817150342327,0.00455026752057571
13-17,0.7911777370981401,0.005944023494467222
14-18,0.7920842678913287,0.0018517037848415296
15-19,0.7915986765165455,0.00690814845495235
16-20,0.7966161997174007,0.006669150769414949
17-21,0.7993608217374021,0.007050146374211505
18-22,0.7959368159768513,0.012495827954140629
19-23,0.799733132529398,0.012726607555328411
20-24,0.8124744730368233,0.009490787346637853
21-25,0.8174736293594492,0.011423528730931588
22-26,0.8230566562057212,0.011186461432739847
23-27,0.8301193748982872,0.008290084025834027
24-28,0.833979948274075,0.01239211063857802
25-29,0.8307580190498864,0.012287367581049879
26-30,0.8301525252059515,0.019515287225740436
27-31,0.8409465133615496,0.017675826915087588
