Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.6632599362969117,0.0026874292936819727
1-5,0.7073369339426673,0.011978051778895141
2-6,0.7172303005123943,0.00881847220444328
3-7,0.73521118958593,0.010382498100033565
4-8,0.7503725245810827,0.014068077490713322
5-9,0.7650131560725661,0.014314419241803721
6-10,0.7799972303005124,0.017195567014968573
7-11,0.7814651710289434,0.015642284110350586
8-12,0.7913253012048193,0.010190481744105865
9-13,0.803434427364631,0.010007909271880779
10-14,0.8016895166874395,0.009571274768284632
11-15,0.808081983104833,0.010723889781308674
12-16,0.8106965794211328,0.011132245746151606
13-17,0.8118099986151502,0.008859783798658047
14-18,0.8131782301620275,0.00645227578082193
15-19,0.8031519180168952,0.0068398787313181525
16-20,0.7951973410884919,0.013904950438877002
17-21,0.7916188893505055,0.0070906573456018
18-22,0.7860850297742695,0.012889713343077943
19-23,0.7858800720121867,0.009589795202857253
20-24,0.7795374601855699,0.013754106512743973
21-25,0.7743304251488713,0.014643876333145896
22-26,0.7803628306328764,0.02054389322267635
23-27,0.789347735770669,0.019890421533585716
24-28,0.7917075197341088,0.013510969691098686
25-29,0.7839135853759865,0.02357298263089194
26-30,0.7890541476249826,0.020879004231518027
27-31,0.7748400498545909,0.008582333418879578
