Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.6102730213633407,0.0138643071403661
1-5,0.6381997907292777,0.0030679934077439937
2-6,0.6709333277878571,0.01046875433178859
3-7,0.6893545758441743,0.013457363759641615
4-8,0.7029115143080492,0.01650846984732231
5-9,0.706976224680418,0.01194124611728211
6-10,0.7102788715512786,0.0131252366883726
7-11,0.7191189787935098,0.013245584906468644
8-12,0.7231702115351711,0.015944918207441698
9-13,0.7315461212554238,0.013309713142059053
10-14,0.732390637868272,0.013220001951852531
11-15,0.7342267099768088,0.015537984043165278
12-16,0.7338430886940678,0.0145779818185582
13-17,0.7419189849759853,0.011511933176778809
14-18,0.7412907464193847,0.01151344309803427
15-19,0.7423806145095044,0.01437266691996206
16-20,0.7397428232978033,0.013615951354278054
17-21,0.7380074525300095,0.01583395546961394
18-22,0.7380584882845506,0.017244870624215754
19-23,0.7412025420479845,0.018977732714397903
20-24,0.7427257745637456,0.01533491502346383
21-25,0.7487437434925192,0.014477877703452031
22-26,0.7521894652371884,0.017761216391713887
23-27,0.7556965050311306,0.016382380514007675
24-28,0.7549425143201894,0.013013205996965285
25-29,0.7579111348317412,0.017444095841084736
26-30,0.7554386376262124,0.016925947616182477
27-31,0.7570166992808095,0.013046660458760682
28-32,0.7481737000354672,0.016226106159908507
