Layer Group,Validation AUROC Mean,Validation AUROC Std
0-2,0.6403736554751409,0.06625965427918172
1-3,0.6375030382180624,0.06889076133013622
2-4,0.6544445049064955,0.061820741894926944
3-5,0.6739870490286772,0.04916193798229304
4-6,0.6936975567285194,0.03599267953917955
5-7,0.7053167909161815,0.0236126885463384
6-8,0.7049006910812429,0.03276951856689987
7-9,0.7216861656781122,0.029854257994735033
8-10,0.7111425513776278,0.036363758360291175
9-11,0.7170575538263408,0.04341005995040785
10-12,0.706472220710671,0.04196931861880717
11-13,0.7312586385155357,0.03930193422653317
12-14,0.7385213400808982,0.037944403030298064
13-15,0.7508392737298435,0.03972501192741777
14-16,0.7671763617565436,0.016453111760918744
15-17,0.7545547876875078,0.021852374115736546
16-18,0.7554432170648093,0.02423049596472656
17-19,0.7787175998984238,0.011660875590136253
18-20,0.7755375378643594,0.023986063628980297
19-21,0.750507699842194,0.021578291622602833
20-22,0.7528584643848288,0.0072503098941034605
21-23,0.761695960530373,0.015157584182852115
22-24,0.7588743175345994,0.02445547362265619
23-25,0.7556467323284541,0.028187894363328064
24-26,0.7790839999274456,0.03396297842952818
25-27,0.7809043913587637,0.015443405054199954
26-28,0.7791721535977943,0.018266800581823485
27-29,0.7642302878598247,0.023877796720213236
28-30,0.7612751446554571,0.02499745045785765
29-31,0.7456450998530773,0.025542528294229257
30-32,0.757517549110301,0.0196591768502846
31-33,0.7608877038326894,0.02301361639804233
32-34,0.7708421759082913,0.03209644152565551
33-35,0.7534447044312637,0.029141270222145375
34-36,0.7373524877110882,0.03134638741100971
35-37,0.747659937240391,0.022102166355699768
36-38,0.7429344651829279,0.02930575414313345
37-39,0.7383004117465672,0.02209659525970398
38-40,0.7388754058515173,0.03025816029741229
39-41,0.7483553717509206,0.029233481886669365
40-42,0.7487206834630245,0.03543515109755603
