Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.6454707384119149,0.008680906584787693
1-5,0.6825161766338237,0.025675719716852417
2-6,0.6732327802916038,0.02901632034594501
3-7,0.7025096472155296,0.019238981797635453
4-8,0.7025062519180167,0.0033709789354349285
5-9,0.7161815961815962,0.02116365251104431
6-10,0.7129593282534459,0.02670654451551986
7-11,0.7161284467166821,0.02447608694696298
8-12,0.7094113729407847,0.013644824661216604
9-13,0.724770393005687,0.014015357472844523
10-14,0.7331740155269566,0.02204646760892273
11-15,0.7241797418268007,0.0187253345390834
12-16,0.7270016258251552,0.009555862989920005
13-17,0.7354126918832801,0.011761599532554352
14-18,0.7345425816014052,0.004365085787667404
15-19,0.7448130954013307,0.0053169844856130735
16-20,0.7374891774891775,0.012048469925235637
17-21,0.732185722773958,0.03544449233126357
18-22,0.7351559551559551,0.03639863820728077
19-23,0.7363494022317552,0.03164943443796134
20-24,0.7507493813376166,0.02176305371862157
21-25,0.7508256449432921,0.018283800906908634
22-26,0.7590600249423779,0.007300519861667558
23-27,0.7572303513479984,0.011994466605312847
24-28,0.7513807760866585,0.013584719689842362
25-29,0.7537433808022044,0.02089380152214596
26-30,0.7352981658864012,0.0309199250598517
27-31,0.7314822432469491,0.026576144592849966
28-32,0.7384432560903149,0.03183749819746686
29-33,0.7461413096707213,0.03436889051757931
30-34,0.7425789896378131,0.04018500884630316
31-35,0.7431682043446749,0.03977145623988642
32-36,0.7317570011687659,0.033241441826542574
33-37,0.7415848204083497,0.030776199858018504
34-38,0.7373943703355468,0.024066559731939094
35-39,0.7289285877521173,0.02107634356255067
36-40,0.7339113174407292,0.029763072072712938
37-41,0.7328548575607399,0.025407478812126006
38-42,0.7373250279132632,0.021454759201596185
