Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.5,0.0
1-5,0.5,0.0
2-6,0.5,0.0
3-7,0.5,0.0
4-8,0.5,0.0
5-9,0.5759367830563483,0.03733836324930368
6-10,0.5750338537295058,0.020747365538676014
7-11,0.5805012310447094,0.02075368632252387
8-12,0.5874528565832914,0.009451844214265252
9-13,0.6030567679480723,0.020197487181339468
10-14,0.6431744166526775,0.02591808167088114
11-15,0.6451435286217895,0.01718389501149193
12-16,0.6619124559341951,0.01582824576008787
13-17,0.6696434167086341,0.009024803473620733
14-18,0.6904971741928264,0.007344335947220826
15-19,0.698008645291254,0.019972222087336605
16-20,0.6936865592300375,0.039982680651713544
17-21,0.6955809691679257,0.04482103057267057
18-22,0.6847160203681942,0.03685494354087454
19-23,0.6870198925633707,0.035869299454578965
20-24,0.6901112136981702,0.03453648692829705
21-25,0.6891960438699568,0.038144729462803915
22-26,0.6901779419170723,0.03429642051513331
23-27,0.6983881707794751,0.03965350789962858
24-28,0.7010900341335123,0.03990069724909458
25-29,0.710898662637793,0.045950356357657464
26-30,0.7210367354932572,0.041238446295390016
27-31,0.7298726987857423,0.052641189027892825
28-32,0.7410437300654692,0.05344402990817613
29-33,0.7407889877455095,0.054286889745260886
30-34,0.7406358066140674,0.05241077058246402
31-35,0.7347367243019417,0.047992223981202745
32-36,0.7296129203737899,0.05446647210339327
33-37,0.7198303116781379,0.046155876434864025
34-38,0.7180701975267193,0.04170969044103823
35-39,0.7159960270829836,0.0411182891002515
36-40,0.7126838173577305,0.05221219621698997
37-41,0.708496166974428,0.05162325583179824
38-42,0.7016740809132115,0.043606971388924234
39-43,0.6911385764646635,0.037481690228481315
40-44,0.6930734150299367,0.03251850330328496
41-45,0.697661994292429,0.03870107716219698
42-46,0.7009876335963293,0.04471209771440719
43-47,0.6907435230261317,0.04511236255395135
44-48,0.6959533601924907,0.049660371915433224
45-49,0.702770689944603,0.05562560186894165
46-50,0.7049907671646803,0.057830556503663276
47-51,0.6980816686251469,0.07084125187201834
48-52,0.7036686531251749,0.0756602497967076
49-53,0.7075025180459963,0.07310427014531677
50-54,0.7106401432488388,0.0719839063050507
51-55,0.7035494656146829,0.0633561500601685
52-56,0.7010701695484304,0.052316891913309606
53-57,0.707581276929103,0.04471939259168269
54-58,0.705899082312126,0.0485182436977338
55-59,0.712615690224386,0.04612800634323079
56-60,0.7134007610094567,0.038419643398839506
57-61,0.7074840523753568,0.03886995428510239
58-62,0.6972507134463656,0.04451134429725188
59-63,0.694919842202451,0.05174453679539775
60-64,0.6968055788707964,0.036749150542453014
61-65,0.6936885177102569,0.037157765741194594
62-66,0.6959316770186336,0.04324787097224706
63-67,0.6974346706955403,0.044647329363719075
64-68,0.6979342230429187,0.036894396896659146
65-69,0.7056755357842315,0.04494577785303302
66-70,0.7037833641094511,0.05341022512466552
67-71,0.7077781041911478,0.054080670233766934
68-72,0.7096534888926193,0.05500332476573216
69-73,0.7122318281013933,0.05050487496498883
70-74,0.7128147557495383,0.05549425929444554
71-75,0.7143198477981088,0.043035272587182226
72-76,0.7164512338425383,0.05767977753976018
73-77,0.7046091433047955,0.06199839167727839
74-78,0.6983189245145768,0.06281830975341406
75-79,0.7042392703262269,0.06963906893218469
76-80,0.6877358569749874,0.05144643685987408
