Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.5300502760195659,0.062095387395169094
1-5,0.5084068779341517,0.08304122488671654
2-6,0.4780462610573749,0.08817306812689182
3-7,0.5299180047245182,0.04976993457581028
4-8,0.5179478701906106,0.07349377714595505
5-9,0.4567263775324422,0.06331842918952431
6-10,0.46011053431739457,0.06600185255311353
7-11,0.49366992938335275,0.0767808841438158
8-12,0.5294902091902278,0.07153442822287386
9-13,0.4740830814594359,0.06310206902373916
10-14,0.47240211285525824,0.07887912536667631
11-15,0.5261661674651272,0.07791339792789141
12-16,0.5461559370448139,0.0701276004467229
13-17,0.5193038231968019,0.07970121486821564
14-18,0.5323708338438851,0.042167657595534876
15-19,0.4698573648659556,0.08679520663353477
16-20,0.4999630727609336,0.07024973819568403
17-21,0.535613984384138,0.07476989930753622
18-22,0.541280939480308,0.03532293792043695
19-23,0.5267962456248475,0.09893433509372798
20-24,0.47367587494234453,0.060459335895098824
21-25,0.5115030697740127,0.05446071394364881
22-26,0.5513080661985528,0.03999593718375495
23-27,0.4803288259786774,0.07086695942876914
24-28,0.5208216660436956,0.07507707274380968
25-29,0.47423235932230734,0.04240353796382268
26-30,0.49845873945260977,0.07642130720232412
27-31,0.5163511236921087,0.06644132611578311
28-32,0.5046840880158786,0.09043236897942676
