Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.5844892181374443,0.019148072804093013
2-2,0.5633584091284852,0.015206248230629141
3-3,0.5638767203015547,0.017221897159064994
4-4,0.5647294616101501,0.01627744425535852
5-5,0.5640650465409767,0.014096603812410638
6-6,0.5624648356411096,0.01569205868157228
7-7,0.5652381464736737,0.016109273355603866
8-8,0.5631951993273273,0.014685500155497435
9-9,0.5647294616101501,0.01627744425535852
10-10,0.5640005165412261,0.017483250466913854
11-11,0.5638767203015547,0.017221897159064994
12-12,0.5646085026050663,0.016455013289555332
13-13,0.5545926262765777,0.03360077525256367
14-14,0.5640005165412261,0.017483250466913854
15-15,0.5669020296154839,0.0165114337605966
16-16,0.5240172946983671,0.07392653046621414
17-17,0.5621829246538244,0.01585470168625578
18-18,0.5638767203015547,0.017221897159064994
19-19,0.5634918316777024,0.01759365343799802
20-20,0.5631951993273273,0.014685500155497435
21-21,0.5339511304434529,0.03223552550695577
22-22,0.5025934066861873,0.037908279299535774
23-23,0.4979829716132421,0.002369195681398223
24-24,0.507895228262543,0.018986304311610913
25-25,0.4982484451032838,0.0030885387838120123
26-26,0.4992813037992903,0.002581361408973472
27-27,0.433075027875969,0.017972406050315356
28-28,0.43379904953569126,0.016001652017521503
29-29,0.46213597067906403,0.06939373578168052
30-30,0.4326984565802596,0.01585123605788971
31-31,0.5187174998860343,0.06064470828105729
32-32,0.48006179550435324,0.08854752060041621
