Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.6496714928732183,0.048848077512883885
1-5,0.670356475482507,0.04553986220758977
2-6,0.7020367864693445,0.046680151616847874
3-7,0.7180900566050603,0.0488733484094902
4-8,0.7360950214826435,0.04655925785462176
5-9,0.7390342017322513,0.04325597148953802
6-10,0.7445835572529497,0.05097786714514592
7-11,0.7585100184136944,0.05077039642324095
8-12,0.7582178681033895,0.05101890757412705
9-13,0.7601490827252266,0.04216078087179948
10-14,0.7653598854259019,0.03700137462127978
11-15,0.7864539316647343,0.04406909737421528
12-16,0.7919021960035464,0.027387520662917948
13-17,0.7937173634317671,0.02251393065599137
14-18,0.7947859373934392,0.024817736917689136
15-19,0.796886073791175,0.02638606021281509
16-20,0.788261604037373,0.029863641576385578
17-21,0.779977542112801,0.029191174646985712
18-22,0.7844561140285072,0.02017979292962729
19-23,0.7815937598035873,0.02879294905190125
20-24,0.7804524244697538,0.03623794638882882
21-25,0.7770090840892042,0.03488098211691767
22-26,0.7752197231125963,0.034137119876474734
23-27,0.7776556502762053,0.0335216342380601
24-28,0.7645168587601445,0.028385888532206666
25-29,0.7595050057969038,0.019514403639715273
26-30,0.7531326263384029,0.028022204929251577
27-31,0.754497728977699,0.0307923022075487
28-32,0.7172124258337312,0.010128017987972715
