Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.6321345726590912,0.010800398675606997
2-2,0.6542946323690548,0.012440372520880887
3-3,0.6652281839886323,0.010085857783994207
4-4,0.7040841927869665,0.009394936013159544
5-5,0.7265999076151388,0.01052591404177184
6-6,0.7482040857105868,0.014990352959308154
7-7,0.7581574240878928,0.015792952916929705
8-8,0.7675939965860406,0.015762552618141825
9-9,0.7791069090651779,0.01428095027216548
10-10,0.7817613252019481,0.016994647700216654
11-11,0.787015975232742,0.015654109755568173
12-12,0.7950422442395694,0.01960408212067259
13-13,0.8019428408258202,0.016663670988563962
14-14,0.7950560419396095,0.020841859539075917
15-15,0.799188614184404,0.022103648250437848
16-16,0.7915576258303024,0.020457970107431465
17-17,0.7962480388783404,0.023351604546629812
18-18,0.7847968740441653,0.023128007600339513
19-19,0.7801718432641594,0.02819590670341239
20-20,0.7855593773448395,0.02133324208334192
21-21,0.7782211834973275,0.025073932973569458
22-22,0.7774783275358782,0.029516922857483516
23-23,0.7725496507702563,0.02793999278034613
24-24,0.7730284886929057,0.028913398630332245
25-25,0.7728168338379471,0.04431860289302549
26-26,0.779329210291906,0.03987821689463105
27-27,0.7751243245331227,0.03975250087034684
28-28,0.7679606803635346,0.03677677086954794
29-29,0.7687513836853507,0.03289586220919462
30-30,0.762103569917792,0.028565295567279544
31-31,0.756319924827819,0.028654829803677378
32-32,0.7514140095555486,0.027561796824171265
