Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.7000143083342266,0.022250974397730938
1-5,0.7070113353923644,0.022669571602115038
2-6,0.7173798635269751,0.021815038454598885
3-7,0.7216220722810098,0.020701133714258205
4-8,0.7267464779044868,0.02283292341990782
5-9,0.7406539003996437,0.021049257173567162
6-10,0.7467228279738339,0.014514292714586475
7-11,0.7557395648744791,0.012417675287327274
8-12,0.7616507689573753,0.012942590886443766
9-13,0.7683593179466189,0.01447560959786045
10-14,0.7709872151562138,0.01669966735458022
11-15,0.7679915593353461,0.017448593278534933
12-16,0.7650696997572424,0.0176051479259421
13-17,0.7693365277530965,0.02356437408099868
14-18,0.764002143698664,0.016997764262307653
15-19,0.7697607481986158,0.01832619807026097
16-20,0.7663239420167475,0.013567026917406732
17-21,0.7617674593996184,0.015185289940175538
18-22,0.7610567117545942,0.018785917386380056
19-23,0.7540384678475509,0.01729068682617419
20-24,0.7419052499726142,0.01778696067453473
21-25,0.7444390151053824,0.020082856231959618
22-26,0.747156377366674,0.024397923661877586
23-27,0.7441922613019449,0.02140583516253444
24-28,0.7437167423623372,0.01640681597660887
25-29,0.7357564043906067,0.014324223854383242
26-30,0.738316308173283,0.009222988696164017
27-31,0.7367809599229944,0.007299141854644865
28-32,0.7171640186325965,0.013740266758738467
