Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.6299694615643783,0.027171768826717253
2-2,0.6406059889896494,0.0169539269064324
3-3,0.6821153553276023,0.018423722705964908
4-4,0.6985471580305027,0.020534136236255253
5-5,0.7061983990871366,0.02094572918874045
6-6,0.7116768807936538,0.01801177973370822
7-7,0.715768535934377,0.016322180894431323
8-8,0.7304089165741076,0.020007920318867115
9-9,0.7466121049713706,0.01773680232008955
10-10,0.753819638166304,0.015464533723766924
11-11,0.7555117169685618,0.01095221765254736
12-12,0.7602265974691521,0.01213355450088659
13-13,0.7669531772481125,0.01742459122033034
14-14,0.7614040428644477,0.019239780752430748
15-15,0.7653960767732051,0.018313585811422298
16-16,0.7641707643480289,0.02246401434993572
17-17,0.7689415365453073,0.020129105131719824
18-18,0.7535522011577673,0.016533352041691086
19-19,0.7616869046686086,0.019894664097832956
20-20,0.7561982166493033,0.012510902725306632
21-21,0.7494449152791361,0.012728160684919618
22-22,0.7516471729929411,0.01875544151125163
23-23,0.7455615070954679,0.018929580826341167
24-24,0.7349060779787362,0.012686430123275881
25-25,0.7383711435923372,0.01888205377090098
26-26,0.7392898860164046,0.02339095986605096
27-27,0.7338696243079563,0.018416028880067003
28-28,0.7309728200101551,0.01587417417459219
29-29,0.7264329870488622,0.011619368158413024
30-30,0.735442369314173,0.01053285495698523
31-31,0.7348140583334689,0.013060925984976518
32-32,0.7143725951777155,0.01145304382855281
