Layer,Top Dimension
16,636
17,636
18,636
19,636
20,636
21,620
22,620
23,620
24,620
25,620
26,620
27,620
28,620
29,2567
30,2567
31,2567
32,2567
33,2567
34,2567
35,4030
36,6890
37,6890
38,6890
39,6890
40,4030
41,6890
42,4030
43,4030
44,4030
45,4030
46,4030
47,4030
48,1071
49,1071
50,1071
51,1071
52,4030
53,4030
54,4030
55,4030
56,4030
57,4030
58,4030
59,4030
60,6890
61,4030
62,4030
63,4030
64,4030
65,4030
66,4030
67,4030
68,4030
69,6890
70,6890
71,4994
72,4994
73,4994
74,4994
75,5092
76,5092
77,5092
78,5092
79,7736
