Layer,Neuron,Dimension,Average Activation (Supported),Std Activation (Supported),Average Activation (Not Supported),Std Activation (Not Supported)
78,966,33734,-0.1758,0.453,-0.2129,0.4648
78,2567,35335,-0.763,0.8633,-1.048,0.863
77,7683,32259,0.3052,0.415,0.1993,0.3955
78,7304,40072,-0.4092,0.5063,-0.545,0.4988
78,4001,36769,-0.1538,0.4863,-0.0382,0.5225
78,1197,33965,-0.3352,0.4578,-0.2377,0.4421
76,1659,18043,0.291,0.3992,0.3938,0.3962
78,6793,39561,0.02927,0.4468,0.1473,0.4873
78,4532,37300,-0.3708,0.4766,-0.2837,0.492
78,5092,37860,0.1964,0.451,0.003805,0.443
