Layer,Neuron,Dimension,Average Activation (Supported),Std Activation (Supported),Standard Error (Supported),Average Activation (Not Supported),Std Activation (Not Supported),Standard Error (Not Supported)
0,N/A,79,0.00781,0.001726,5.314377879957263e-05,0.007786,0.001875,8.59369871691448e-05
1,N/A,79,0.001935,0.01613,0.0004965566779328024,-0.00057,0.01614,0.0007399498061033994
2,N/A,79,0.004063,0.03976,0.0012242447518381108,-0.001244,0.04086,0.0018729542351086045
3,N/A,79,0.0329,0.04965,0.001528661712387265,0.02946,0.0513,0.002351333882910802
4,N/A,79,0.01979,0.06824,0.0021008528511972492,0.01593,0.0695,0.0031864001102146385
5,N/A,79,0.0368,0.0798,0.002456005971837929,0.0355,0.08124,0.003723528135817106
6,N/A,79,0.02489,0.0838,0.002580027696506103,0.02815,0.08624,0.00395292656341816
7,N/A,79,0.0632,0.0916,0.0028205546776807434,0.05783,0.0925,0.004241073368819483
8,N/A,79,0.02171,0.1065,0.0032790592355449017,0.0087,0.1063,0.0048733178156223885
9,N/A,79,0.07465,0.10834,0.003335432746757708,0.05508,0.1078,0.004940458818822696
10,N/A,79,0.0777,0.1164,0.003583476196094056,0.0411,0.1134,0.005197832664423879
11,N/A,79,0.0781,0.1187,0.003654882643630277,0.04303,0.11615,0.005323722045424457
12,N/A,79,0.07367,0.1398,0.00430317802257755,0.007515,0.1404,0.00643434614002956
13,N/A,79,0.1294,0.1543,0.004750407878199147,0.05157,0.1545,0.007083375837632542
14,N/A,79,0.1532,0.1768,0.005441922949076238,0.066,0.1782,0.008168822056037528
15,N/A,79,0.151,0.1989,0.006122163317710767,0.04865,0.1941,0.008896182924040869
16,N/A,79,0.2327,0.2175,0.006697173132081392,0.1193,0.2036,0.009332599444842875
17,N/A,79,0.299,0.2423,0.0074600946504947046,0.1754,0.2222,0.010183052152046781
18,N/A,79,0.2866,0.2426,0.007467611118656412,0.1543,0.2311,0.010591493254848658
19,N/A,79,0.354,0.2634,0.008110269146482404,0.1885,0.2515,0.011525872216052951
20,N/A,79,0.4106,0.3245,0.00998938618690928,0.2222,0.3044,0.013954138498464106
21,N/A,79,0.5527,0.3394,0.01044789074477344,0.3552,0.3108,0.014245082845665443
22,N/A,79,0.6157,0.3523,0.010846263557343938,0.4092,0.3286,0.015061965051269196
23,N/A,79,0.618,0.3813,0.011740723268587131,0.3945,0.3677,0.01685239180327742
24,N/A,79,0.5493,0.3992,0.01228942544439178,0.3018,0.388,0.017781175680881688
25,N/A,79,0.6836,0.4053,0.012477337148434468,0.4316,0.4011,0.018385444709684465
26,N/A,79,1.01,0.4648,0.0143113553798911,0.706,0.4712,0.021597022696099217
27,N/A,79,1.088,0.5107,0.015724451394292113,0.792,0.527,0.024148380817710938
0,N/A,3039,-0.00603,0.00293,9.019761794049012e-05,-0.005722,0.003588,0.00016444300393200545
1,N/A,3039,0.3591,0.02945,0.0009066739720059684,0.3555,0.021,0.0009623543792044211
2,N/A,3039,0.545,0.05536,0.001704359155667178,0.533,0.05893,0.002701026607912409
3,N/A,3039,0.9766,0.0891,0.0027435108790232416,0.9775,0.0854,0.00391376097821798
4,N/A,3039,1.134,0.1644,0.005062341306910008,1.148,0.1565,0.007172897175232952
5,N/A,3039,1.554,0.319,0.009824023887351716,1.56,0.313,0.014345794350465905
6,N/A,3039,1.928,0.337,0.010372726063156364,1.928,0.2798,0.012823931611258913
7,N/A,3039,1.602,0.3926,0.012086480804025678,1.575,0.3743,0.01715452631767881
8,N/A,3039,2.244,0.5015,0.015438825604147227,2.176,0.524,0.024014098811310322
9,N/A,3039,2.242,0.5566,0.017137547408693124,2.184,0.5205,0.023857436470509603
10,N/A,3039,2.246,0.5796,0.01784409541589363,2.24,0.5527,0.02533453854091639
11,N/A,3039,1.438,0.5435,0.01673165812796092,1.426,0.502,0.023006983763305695
12,N/A,3039,3.658,0.7793,0.023992566372170374,3.66,0.8228,0.037710863464173246
13,N/A,3039,2.76,0.7437,0.022895162020561077,2.81,0.7056,0.032339583208148566
14,N/A,3039,3.188,0.7476,0.023015425511148397,3.084,0.7173,0.032876711233751035
15,N/A,3039,4.3,0.776,0.023887335817906467,4.254,0.692,0.03171293384494569
16,N/A,3039,3.676,0.88,0.027089351254793868,3.568,0.8145,0.0373303977793715
17,N/A,3039,3.896,0.8623,0.026548165547150927,3.725,0.8164,0.03741991911697191
18,N/A,3039,4.19,0.789,0.024293225098638675,4.094,0.7344,0.033660022937754636
19,N/A,3039,3.0,0.7856,0.02418799454437477,2.844,0.7344,0.033660022937754636
20,N/A,3039,2.775,0.7456,0.02295529376585474,2.693,0.713,0.03267528822415011
21,N/A,3039,1.73,0.717,0.022068350522773252,1.72,0.689,0.03157865183854507
22,N/A,3039,1.517,0.733,0.022564437421445947,1.504,0.691,0.03166817317614549
23,N/A,3039,1.261,0.7437,0.022895162020561077,1.244,0.696,0.03189197652014651
24,N/A,3039,0.8115,0.7085,0.021812790605275197,0.786,0.6616,0.030325353112139315
25,N/A,3039,0.12305,0.662,0.02038466165455077,0.0796,0.6416,0.029407759401735102
26,N/A,3039,-0.1692,0.6426,0.019783344201614168,-0.1887,0.6396,0.02931823806413469
27,N/A,3039,-0.5366,0.55,0.016927086300165314,-0.5303,0.552,0.02528977787211618
0,N/A,1534,-0.0118,0.000646,1.98922155451439e-05,-0.01187,0.0007324,3.357050160015423e-05
1,N/A,1534,0.005745,0.010475,0.0003225034620632629,0.009186,0.00964,0.0004420116044020306
2,N/A,1534,0.06033,0.02228,0.0006858777197558104,0.06665,0.0223,0.0010218021424546941
3,N/A,1534,0.11554,0.0581,0.0017889194224863876,0.1406,0.05923,0.002715014316912473
4,N/A,1534,0.1713,0.10034,0.003089268414461787,0.2134,0.0986,0.004518030007020756
5,N/A,1534,0.2303,0.1339,0.004122782786696569,0.2837,0.1321,0.006053880455227811
6,N/A,1534,0.214,0.1527,0.004701550835148048,0.2766,0.1516,0.006949093831231924
7,N/A,1534,0.218,0.1876,0.005776405782272222,0.3,0.1838,0.00842619590163871
8,N/A,1534,0.2773,0.2231,0.006870051899800665,0.3748,0.2258,0.010350904660047552
9,N/A,1534,0.2878,0.2429,0.007478885820898973,0.391,0.2395,0.010977554023250432
10,N/A,1534,0.2598,0.2725,0.008388378468465582,0.3906,0.26,0.01191752806805475
11,N/A,1534,0.1924,0.276,0.008493609022729488,0.3325,0.2603,0.011928718235254801
12,N/A,1534,0.2622,0.307,0.00944820047926634,0.4285,0.2876,0.013182016961660558
13,N/A,1534,0.3018,0.352,0.01083874708918223,0.4902,0.3376,0.015476001237671098
14,N/A,1534,0.3145,0.388,0.011943667908953234,0.504,0.3713,0.01702024431127819
15,N/A,1534,0.3179,0.4353,0.013401862732324491,0.5195,0.4048,0.018553297217685234
16,N/A,1534,0.206,0.4678,0.01440155299783159,0.426,0.45,0.020623478149694743
17,N/A,1534,0.3086,0.527,0.01622053829296481,0.5557,0.5103,0.02338744944810744
18,N/A,1534,0.344,0.5796,0.01784409541589363,0.622,0.557,0.02553596155051731
19,N/A,1534,0.2512,0.612,0.018836269213239023,0.527,0.579,0.02654307659852194
20,N/A,1534,0.1681,0.694,0.021361802515572743,0.501,0.6523,0.029900126758537364
21,N/A,1534,0.2101,0.778,0.02394746756320013,0.5728,0.735,0.033682403272154736
22,N/A,1534,0.1206,0.8086,0.024894542551575274,0.4941,0.7686,0.03522664634576183
23,N/A,1534,0.0661,0.814,0.02505990485113284,0.4314,0.772,0.03538330868656255
24,N/A,1534,-0.096,0.8325,0.02563115643142261,0.2773,0.7866,0.03605471871856564
25,N/A,1534,-0.119,0.835,0.025706321113039686,0.2612,0.793,0.036345663065766975
26,N/A,1534,0.048,0.9614,0.029599851620804175,0.4817,0.9214,0.04223169101299402
27,N/A,1534,0.18,1.018,0.0313286392979969,0.677,0.982,0.045006852478606765
